	id	similarityStruct.MACCS.Dice	similarityStruct.Morgan.Dice	similarityStruct.MorganPure.Dice	similarityStruct.RDK.Dice	similarityStruct.AtomPair.Dice	similarityStruct.Torsion.Dice	similarityStruct.MACCS.Tanimoto	similarityStruct.RDKDice.Tanimoto	Source.MineID	Source.PubChemCID	Source.DrugBankID
46	DB15569	0.7705	0.427	0.2809	0.6608	0.3808	0.3217	0.6267	0.4935	2	9926791	DB08895
47	DB16009	0.7581	0.557	0.3797	0.7155	0.3762	0.2373	0.6104	0.557	2	9926791	DB08895
48	DB16107	0.813	0.4162	0.2775	0.635	0.4122	0.1679	0.6849	0.4653	2	9926791	DB08895
49	DB16133	0.9174	0.8397	0.6718	0.8383	0.811	0.5283	0.8475	0.7216	2	9926791	DB08895
50	DB16217	0.8264	0.529	0.3871	0.6176	0.3805	0.2957	0.7042	0.4467	2	9926791	DB08895
51	DB16240	0.7563	0.4472	0.2981	0.6045	0.3505	0.1681	0.6081	0.4332	2	9926791	DB08895
52	DB16250	0.8205	0.4024	0.3293	0.5517	0.3778	0.188	0.6957	0.3809	2	9926791	DB08895
53	DB16660	0.7573	0.4183	0.3268	0.6015	0.432	0.1416	0.6094	0.4301	2	9926791	DB08895
54	DB00179	0.7857	0.5333	0.4296	0.4825	0.4319	0.439	0.6471	0.318	5	969516	DB11672
55	DB00211	0.6575	0.4839	0.3871	0.3991	0.3813	0.3056	0.4898	0.2493	5	969516	DB11672
56	DB00255	0.6923	0.5649	0.3511	0.5088	0.3736	0.4	0.5294	0.3412	5	969516	DB11672
57	DB00323	0.6301	0.5271	0.4341	0.3791	0.381	0.3415	0.46	0.2339	5	969516	DB11672
58	DB00461	0.7037	0.5203	0.4065	0.4072	0.5294	0.5479	0.5429	0.2557	5	969516	DB11672
59	DB00662	0.6329	0.6013	0.4444	0.4976	0.4221	0.4396	0.463	0.3312	5	969516	DB11672
60	DB00890	0.7083	0.5802	0.3664	0.4795	0.3793	0.45	0.5484	0.3154	5	969516	DB11672
61	DB00901	0.7324	0.5089	0.3669	0.4548	0.4098	0.3883	0.5778	0.2944	5	969516	DB11672
62	DB01039	0.6897	0.5315	0.3357	0.3696	0.3849	0.3218	0.5263	0.2267	5	969516	DB11672
63	DB01094	0.8065	0.6324	0.4118	0.3962	0.4836	0.3297	0.6757	0.247	5	969516	DB11672
64	DB01113	0.7213	0.5205	0.411	0.4771	0.4052	0.4632	0.5641	0.3133	5	969516	DB11672
65	DB01288	0.625	0.5147	0.3382	0.3926	0.3761	0.3544	0.4545	0.2442	5	969516	DB11672
66	DB01295	0.6667	0.6027	0.4247	0.5472	0.4271	0.4578	0.5	0.3766	5	969516	DB11672
67	DB01428	0.84	0.5528	0.4065	0.4121	0.4632	0.3467	0.7241	0.2595	5	969516	DB11672
68	DB02014	0.6667	0.5283	0.5031	0.3586	0.5177	0.3168	0.5	0.2185	5	969516	DB11672
69	DB03083	0.6667	0.5857	0.4286	0.4352	0.4977	0.3441	0.5	0.2781	5	969516	DB11672
70	DB03285	0.8235	0.6094	0.5	0.4946	0.4762	0.5789	0.7	0.3285	5	969516	DB11672
71	DB03514	0.75	0.5333	0.4762	0.7818	0.3713	0.4918	0.6	0.6418	5	969516	DB11672
72	DB03788	0.8197	0.4805	0.3896	0.4424	0.5776	0.4043	0.6944	0.2841	5	969516	DB11672
73	DB04200	0.7937	0.7703	0.5946	0.5006	0.6125	0.5895	0.6579	0.3338	5	969516	DB11672
74	DB04449	0.8148	0.5217	0.4174	0.7678	0.3716	0.4179	0.6875	0.6232	5	969516	DB11672
75	DB04915	0.6316	0.5827	0.3307	0.4795	0.4385	0.55	0.4615	0.3153	5	969516	DB11672
76	DB04924	0.6154	0.5946	0.4324	0.5177	0.4399	0.5349	0.4444	0.3492	5	969516	DB11672
77	DB05143	0.7879	0.5714	0.4596	0.4995	0.3944	0.44	0.65	0.3329	5	969516	DB11672
78	DB05187	0.7937	0.6216	0.4595	0.4506	0.4643	0.4783	0.6579	0.2908	5	969516	DB11672
79	DB05197	0.8182	0.5389	0.4671	0.4705	0.5583	0.4731	0.6923	0.3076	5	969516	DB11672
80	DB05284	0.8966	0.6525	0.4539	0.5165	0.4211	0.4494	0.8125	0.3482	5	969516	DB11672
81	DB06133	0.8929	0.7308	0.6795	0.7724	0.7226	0.6957	0.8065	0.6292	5	969516	DB11672
82	DB06460	0.72	0.4972	0.3425	0.3845	0.4512	0.3307	0.5625	0.238	5	969516	DB11672
83	DB06588	0.7458	0.56	0.3333	0.359	0.4206	0.44	0.5946	0.2188	5	969516	DB11672
84	DB06774	0.6486	0.5441	0.4118	0.5812	0.5035	0.3836	0.48	0.4096	5	969516	DB11672
85	DB06978	0.6301	0.5507	0.4058	0.3661	0.4154	0.3488	0.46	0.224	5	969516	DB11672
86	DB07078	0.6389	0.517	0.4354	0.3937	0.6207	0.4242	0.4694	0.2451	5	969516	DB11672
87	DB07109	0.8462	0.4779	0.531	0.7962	0.4624	0.5625	0.7333	0.6614	5	969516	DB11672
88	DB07178	0.6786	0.5077	0.3385	0.4686	0.4306	0.3243	0.5135	0.306	5	969516	DB11672
89	DB07274	0.6111	0.4878	0.4024	0.3757	0.4268	0.3393	0.44	0.2313	5	969516	DB11672
90	DB07425	0.8197	0.5286	0.3857	0.4312	0.5019	0.3721	0.6944	0.2748	5	969516	DB11672
91	DB07427	0.678	0.5	0.3871	0.5361	0.3762	0.3333	0.5128	0.3662	5	969516	DB11672
92	DB07428	0.7018	0.4839	0.371	0.4121	0.3719	0.4167	0.5405	0.2595	5	969516	DB11672
93	DB07500	0.8525	0.7083	0.6111	0.5077	0.6183	0.5581	0.7429	0.3402	5	969516	DB11672
94	DB07615	0.7761	0.6056	0.6197	0.5944	0.5736	0.5176	0.6341	0.4228	5	969516	DB11672
95	DB07767	0.8462	0.5133	0.6018	0.8403	0.5652	0.625	0.7333	0.7246	5	969516	DB11672
