322.ZINC000000602859
312.ZINC000003778885
3113.ZINC000003801027
3155.ZINC000003801503
339.ZINC000003816310
2909.ZINC000003826241
3138.ZINC000003826241
956.ZINC000003869959
2572.ZINC000003869959
2797.ZINC000003869959
3042.ZINC000003869959
2573.ZINC000003870129
2798.ZINC000003870129
3043.ZINC000003870129
2555.ZINC000003874712
3021.ZINC000003874712
1014.ZINC000003874923
2601.ZINC000003874923
2828.ZINC000003874923
3082.ZINC000003874923
2535.ZINC000003914596
2636.ZINC000003919807
2855.ZINC000003919807
2756.ZINC000003920355
2574.ZINC000003920420
2642.ZINC000003924034
2857.ZINC000003924034
3119.ZINC000003924034
2604.ZINC000003935186
2832.ZINC000003935186
3088.ZINC000003935186
2524.ZINC000003944422
2715.ZINC000003951627
2958.ZINC000003951627
2589.ZINC000003951728
2816.ZINC000003951728
3066.ZINC000003951728
2537.ZINC000003951740
2617.ZINC000003965850
2842.ZINC000003965850
3100.ZINC000003965850
2648.ZINC000003976535
3128.ZINC000003976535
2621.ZINC000003989246
2858.ZINC000003992480
2677.ZINC000004095814
3164.ZINC000004095814
2348.ZINC000004096912
2714.ZINC000004102171
2957.ZINC000004102171
3187.ZINC000004102171
1096.ZINC000004215557
3192.ZINC000004215557
2680.ZINC000004393164
3177.ZINC000004632133
135.ZINC000004793359
503.ZINC000004793359
2349.ZINC000005158550
664.ZINC000005513458
2523.ZINC000008214644
2990.ZINC000008214644
2370.ZINC000008214943
2424.ZINC000008214943
2465.ZINC000008214943
2506.ZINC000008214943
2578.ZINC000008217540
3051.ZINC000008217540
941.ZINC000008234408
2568.ZINC000008234408
2794.ZINC000008234408
3038.ZINC000008234408
296.ZINC000008466460
3049.ZINC000008689962
2736.ZINC000008716755
2974.ZINC000008716755
3216.ZINC000008716755
884.ZINC000012501645
2549.ZINC000012501645
2780.ZINC000012501645
3013.ZINC000012501645
2563.ZINC000012502600
3031.ZINC000012502600
2590.ZINC000012503844
3067.ZINC000012503844
2630.ZINC000012504502
3111.ZINC000012504502
2575.ZINC000014096696
2801.ZINC000014096696
2721.ZINC000014175498
2961.ZINC000014175498
3196.ZINC000014175498
2539.ZINC000014880066
2556.ZINC000014880363
3023.ZINC000014880363
2597.ZINC000014880990
3077.ZINC000014880990
2619.ZINC000014881275
3102.ZINC000014881275
2622.ZINC000014881283
2844.ZINC000014881283
